"","Rank","Company","Ticker","Sector","Industry","Profitable","Founder_is_CEO","FemaleCEO","Growth_in_Jobs","Change_in_Rank","Gained_in_Rank","Dropped_in_Rank","Newcomer_to_the_Fortune500","Global500","Best_Companies","Number_of_employees","MarketCap_March31_M","RevenuePercentChange","ProfitsPercentChange","CEO","Country","HeadquartersCity","HeadquartersState","Website","CompanyType","Footnote","Revenues","Abs_Profits","Assets","MarketCap_March31"
"195",195,"Coupang","CPNG","Retailing","Internet Services and Retailing","no","true","false","no",NA,"","","yes","no","no",63000,28388,11.8,NA,"Bom Kim","U.S.","Seattle","WA","www.aboutcoupang.com","Public","Moved headquarters from South Korea to the U.S. in 2022. Market value as of March 31, 2023.",2.0583e+10,9.2e+07,9.513e+09,2.8388e+10
"196",196,"Carrier Global","CARR","Industrials","Industrial Machinery","yes","false","false","no",-27,"no","yes","no","no","no",52000,38199,-0.9,112.4,"David L. Gitlin","U.S.","Palm Beach Gardens","FL","www.corporate.carrier.com","Public","Market value as of March 31, 2023.",2.0421e+10,3.534e+09,2.6086e+10,3.8199e+10
"197",197,"Halliburton","HAL","Energy","Oil and Gas Equipment, Services","yes","false","false","yes",44,"yes","no","no","no","no",45000,28605,32.7,7.9,"Jeffrey A. Miller","U.S.","Houston","TX","www.halliburton.com","Public","Market value as of March 31, 2023.",2.0297e+10,1.572e+09,2.3255e+10,2.8605e+10
"198",198,"Delek US Holdings","DK","Energy","Petroleum Refining","yes","false","false","yes",148,"yes","no","no","no","no",3746,1538,90.1,NA,"Avigal Soreq","U.S.","Brentwood","TN","www.delekus.com","Public","Excise taxes have been deducted. Market value as of March 31, 2023.",2.0246e+10,2.57e+08,8.193e+09,1.538e+09
"199",199,"Kimberly-Clark","KMB","Household Products","Household and Personal Products","yes","false","false","no",-17,"no","yes","no","no","no",44000,45293,3.8,6.6,"Michael D. Hsu","U.S.","Irving","TX","www.kimberly-clark.com","Public","Market value as of March 31, 2023.",2.0175e+10,1.934e+09,1.797e+10,4.5293e+10
"200",200,"Texas Instruments","TXN","Technology","Semiconductors and Other Electronic Components","yes","false","false","yes",-2,"no","yes","no","no","no",33000,168775,9.2,12.6,"Haviv Ilan","U.S.","Dallas","TX","www.ti.com","Public","Market value as of March 31, 2023.",2.0028e+10,8.749e+09,2.7207e+10,1.68775e+11
"201",201,"Bank of New York Mellon","BK","Financials","Commercial Banks","yes","false","false","yes",28,"yes","no","no","no","no",51700,36736,23.7,-31.6,"Robin Vince","U.S.","New York","NY","www.bnymellon.com","Public","Market value as of March 31, 2023.",1.9991e+10,2.573e+09,4.05783e+11,3.6736e+10
"202",202,"ManpowerGroup","MAN","Business Services","Temporary Help","yes","false","false","yes",-35,"no","yes","no","no","no",30900,4191,-4.3,-2.2,"Jonas Prising","U.S.","Milwaukee","WI","www.manpowergroup.com","Public","Market value as of March 31, 2023.",1.9828e+10,3.74e+08,9.13e+09,4.191e+09
"203",203,"Whirlpool","WHR","Industrials","Electronics, Electrical Equip.","no","false","false","no",-41,"no","yes","no","no","no",61000,7197,-10.3,-185.2,"Marc R. Bitzer","U.S.","Benton Harbor","MI","www.whirlpoolcorp.com","Public","Market value as of March 31, 2023.",1.9724e+10,1.519e+09,1.7124e+10,7.197e+09
"204",204,"Waste Management","WM","Business Services","Waste Management","yes","false","false","yes",-1,"no","yes","no","no","no",49500,66372,9.9,23.2,"James C. Fish Jr.","U.S.","Houston","TX","www.wm.com","Public","Market value as of March 31, 2023.",1.9698e+10,2.238e+09,3.1367e+10,6.6372e+10
"205",205,"American Electric Power","AEP","Energy","Utilities: Gas and Electric","yes","false","true","yes",14,"yes","no","no","no","no",16974,46806,17,-7.3,"Julia A. Sloat","U.S.","Columbus","OH","www.aep.com","Public","Market value as of March 31, 2023.",1.964e+10,2.307e+09,9.3469e+10,4.6806e+10
"206",206,"Emerson Electric","EMR","Industrials","Industrial Machinery","yes","false","false","no",-7,"no","yes","no","no","no",85500,49792,7.6,40.3,"S. L. Karsanbhai","U.S.","St. Louis","MO","www.emerson.com","Public","Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",1.9629e+10,3.231e+09,3.5672e+10,4.9792e+10
"207",207,"Aflac","AFL","Financials","Insurance: Life, Health (stock)","yes","false","false","yes",-46,"no","yes","no","no","no",12882,39467,-11.8,-2.9,"Daniel P. Amos","U.S.","Columbus","GA","www.aflac.com","Public","Market value as of March 31, 2023.",1.9502e+10,4.201e+09,1.31017e+11,3.9467e+10
"208",208,"Cognizant Technology Solutions","CTSH","Technology","Information Technology Services","yes","false","false","yes",-14,"no","yes","no","no","no",355300,31031,5,7.2,"Ravi Kumar S","U.S.","Teaneck","NJ","www.cognizant.com","Public","Market value as of March 31, 2023.",1.9428e+10,2.29e+09,1.7852e+10,3.1031e+10
"209",209,"Becton Dickinson","BDX","Health Care","Medical Products and Equipment","yes","false","false","yes",-36,"no","yes","no","no","no",77000,70277,-4.1,-15,"Thomas E. Polen","U.S.","Franklin Lakes","NJ","www.bd.com","Public","Includes revenues from discontinued operations. Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",1.9408e+10,1.779e+09,5.2934e+10,7.0277e+10
"210",210,"BJ's Wholesale Club","BJ","Retailing","General Merchandisers","yes","false","false","no",11,"yes","no","no","no","no",34000,10186,15.9,20.3,"Robert W. Eddy","U.S.","Marlborough","MA","www.bjs.com","Public","Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",1.9315e+10,5.13e+08,6.35e+09,1.0186e+10
"211",211,"Moderna","MRNA","Health Care","Pharmaceuticals","yes","false","false","yes",-16,"no","yes","no","no","no",3900,59232,4.3,-31.5,"Stephane Bancel","U.S.","Cambridge","MA","www.modernatx.com","Public","Market value as of March 31, 2023.",1.9263e+10,8.362e+09,2.5858e+10,5.9232e+10
"212",212,"DTE Energy","DTE","Energy","Utilities: Gas and Electric","yes","false","false","no",27,"yes","no","no","no","no",10250,22577,25.1,19.4,"Gerardo Norcia","U.S.","Detroit","MI","www.dteenergy.com","Public","Market value as of March 31, 2023.",1.9228e+10,1.083e+09,4.2683e+10,2.2577e+10
"213",213,"Land O'Lakes","","Food, Beverages & Tobacco","Food Consumer Products","yes","false","true","no",19,"yes","no","no","no","no",9000,NA,20.8,-16.1,"Beth E. Ford","U.S.","Arden Hills","MN","www.landolakesinc.com","Private","A cooperative.",1.9226e+10,2.41e+08,9.77e+09,NA
"214",214,"Kinder Morgan","KMI","Energy","Pipelines","yes","false","true","no",9,"yes","no","no","no","no",10525,39363,15.6,42.8,"Kimberly Dang","U.S.","Houston","TX","www.kindermorgan.com","Public","Market value as of March 31, 2023.",1.92e+10,2.548e+09,7.0078e+10,3.9363e+10
"215",215,"Tenet Healthcare","THC","Health Care","Health Care: Medical Facilities","yes","false","false","yes",-34,"no","yes","no","no","no",89088,6077,-1.6,-55,"Saumya Sutaria","U.S.","Dallas","TX","www.tenethealth.com","Public","Market value as of March 31, 2023.",1.9174e+10,4.11e+08,2.7156e+10,6.077e+09
"216",216,"Devon Energy","DVN","Energy","Mining, Crude-Oil Production","yes","false","false","yes",93,"yes","no","no","no","no",1800,33099,57,113.8,"Richard E. Muncrief","U.S.","Oklahoma City","OK","www.devonenergy.com","Public","Market value as of March 31, 2023.",1.9169e+10,6.015e+09,2.3721e+10,3.3099e+10
"217",217,"Mosaic","MOS","Chemicals","Chemicals","yes","false","false","yes",88,"yes","no","no","no","no",13570,15438,54.8,119.7,"James C. O&#039;Rourke","U.S.","Tampa","FL","www.mosaicco.com","Public","Market value as of March 31, 2023.",1.9125e+10,3.583e+09,2.3386e+10,1.5438e+10
"218",218,"Exelon","EXC","Energy","Utilities: Gas and Electric","yes","false","false","no",-119,"no","yes","no","yes","no",19063,41651,-47.5,27.2,"Calvin G. Butler Jr.","U.S.","Chicago","IL","www.exeloncorp.com","Public","Spun off Constellation Energy (2022 rank: 162), Feb. 1, 2022. Market value as of March 31, 2023.",1.9078e+10,2.17e+09,9.5349e+10,4.1651e+10
"219",219,"General Mills","GIS","Food, Beverages & Tobacco","Food Consumer Products","yes","false","false","no",-18,"no","yes","no","no","no",32500,50195,4.8,15.7,"Jeffrey L. Harmening","U.S.","Minneapolis","MN","www.generalmills.com","Public","Figures are for fiscal year ended May 31, 2022. Market value as of March 31, 2023.",1.8993e+10,2.707e+09,3.109e+10,5.0195e+10
"220",220,"Global Partners","GLP","Wholesalers","Wholesalers: Diversified","yes","false","false","yes",60,"yes","no","no","no","no",3585,1055,42.5,495.8,"Eric Slifka","U.S.","Waltham","MA","www.globalp.com","Public","A partnership. Market value as of March 31, 2023.",1.8878e+10,3.62e+08,3.161e+09,1.055e+09
"221",221,"Western Digital","WDC","Technology","Computers, Office Equipment","yes","false","false","no",-4,"no","yes","no","no","no",65000,12029,11.1,82.7,"David V. Goeckeler","U.S.","San Jose","CA","www.westerndigital.com","Public","Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",1.8793e+10,1.5e+09,2.6259e+10,1.2029e+10
"222",222,"Lincoln National","LNC","Financials","Insurance: Life, Health (stock)","no","false","true","yes",-35,"no","yes","no","no","no",11316,3802,-5.5,-218.8,"Ellen G. Cooper","U.S.","Radnor","PA","www.lfg.com","Public","Market value as of March 31, 2023.",1.8766e+10,2.241e+09,3.35108e+11,3.802e+09
"223",223,"Ross Stores","ROST","Retailing","Specialty Retailers: Apparel","yes","false","true","yes",-34,"no","yes","no","no","no",101000,36302,-1.2,-12.2,"Barbara Rentler","U.S.","Dublin","CA","www.rossstores.com","Public","Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",1.8696e+10,1.512e+09,1.3417e+10,3.6302e+10
"224",224,"Stryker","SYK","Health Care","Medical Products and Equipment","yes","false","false","yes",-10,"no","yes","no","no","yes",51000,108228,7.8,18.3,"Kevin A. Lobo","U.S.","Kalamazoo","MI","www.stryker.com","Public","Market value as of March 31, 2023.",1.8449e+10,2.358e+09,3.6884e+10,1.08228e+11
"225",225,"Kyndryl Holdings","KD","Technology","Information Technology Services","no","false","false","",NA,"","","yes","no","no",90000,3358,NA,NA,"Martin J. Schroeter","U.S.","New York","NY","www.kyndryl.com","Public","Spun off from International Business Machines (2022 rank: 65), Nov. 3, 2021. Changed fiscal year from Dec. 31 to March 31. Figures are for the latest 12 months ended March 31, 2022. Market value as of March 31, 2023.",1.8317e+10,2.054e+09,1.3442e+10,3.358e+09
"226",226,"Kohl's","KSS","Retailing","General Merchandisers","no","false","false","no",-43,"no","yes","no","no","no",66500,2607,-6.9,-102,"Thomas A. Kingsbury","U.S.","Menomonee Falls","WI","www.kohls.com","Public","Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",1.8098e+10,1.9e+07,1.4345e+10,2.607e+09
"227",227,"Stanley Black & Decker","SWK","Household Products","Home Equipment, Furnishings","yes","false","false","no",-15,"no","yes","no","no","no",54200,12333,4.4,-37.1,"Donald Allan Jr.","U.S.","New Britain","CT","www.stanleyblackanddecker.com","Public","Includes revenues from discontinued operations. Market value as of March 31, 2023.",1.8004e+10,1.063e+09,2.4963e+10,1.2333e+10
"228",228,"Colgate-Palmolive","CL","Household Products","Household and Personal Products","yes","false","false","no",-17,"no","yes","no","no","no",33800,62535,3.1,-17.6,"Noel R. Wallace","U.S.","New York","NY","www.colgatepalmolive.com","Public","Market value as of March 31, 2023.",1.7967e+10,1.785e+09,1.5731e+10,6.2535e+10
"229",229,"BlackRock","BLK","Financials","Securities","yes","false","false","yes",-45,"no","yes","no","no","no",19800,100526,-7.7,-12.3,"Laurence D. Fink","U.S.","New York","NY","www.blackrock.com","Public","Market value as of March 31, 2023.",1.7873e+10,5.178e+09,1.17628e+11,1.00526e+11
"230",230,"Fiserv","FISV","Business Services","Financial Data Services","yes","false","false","no",-3,"no","yes","no","no","no",41000,70997,9.3,89.7,"Frank J. Bisignano","U.S.","Brookfield","WI","www.fiserv.com","Public","Market value as of March 31, 2023.",1.7737e+10,2.53e+09,8.3869e+10,7.0997e+10
"231",230,"Estee Lauder","EL","Household Products","Household and Personal Products","yes","false","false","yes",-2,"no","yes","no","no","no",53865,88041,9.4,-16.7,"Fabrizio Freda","U.S.","New York","NY","www.elcompanies.com","Public","Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",1.7737e+10,2.39e+09,2.091e+10,8.8041e+10
"232",232,"PPG Industries","PPG","Chemicals","Chemicals","yes","false","false","yes",-14,"no","yes","no","no","no",52000,31439,5.1,-28.7,"Timothy M. Knavish","U.S.","Pittsburgh","PA","www.ppg.com","Public","Market value as of March 31, 2023.",1.7652e+10,1.026e+09,2.0744e+10,3.1439e+10
"233",233,"Adobe","ADBE","Technology","Computer Software","yes","false","false","yes",2,"yes","no","no","no","yes",29239,176769,11.5,-1.4,"Shantanu Narayen","U.S.","San Jose","CA","www.adobe.com","Public","Figures are for fiscal year ended Nov. 30, 2022. Market value as of March 31, 2023.",1.7606e+10,4.756e+09,2.7165e+10,1.76769e+11
"234",234,"Block","SQ","Business Services","Financial Data Services","no","true","false","yes",-26,"no","yes","no","no","no",12428,41329,-0.7,-425.2,"Jack Dorsey","U.S.","San Francisco","CA","www.block.xyz","Public","As of 2021, company no longer has a designated headquarters. Market value as of March 31, 2023.",1.7532e+10,5.41e+08,3.1364e+10,4.1329e+10
"235",235,"Synchrony Financial","SYF","Financials","Diversified Financials","yes","false","false","yes",1,"yes","no","no","no","yes",18500,12709,11.3,-28.5,"Brian D. Doubles","U.S.","Stamford","CT","www.synchrony.com","Public","Market value as of March 31, 2023.",1.7526e+10,3.016e+09,1.04564e+11,1.2709e+10
"236",236,"Principal Financial","PFG","Financials","Insurance: Life, Health (stock)","yes","false","false","yes",20,"yes","no","no","no","no",19300,18068,22.6,181.3,"Daniel J. Houston","U.S.","Des Moines","IA","www.principal.com","Public","Market value as of March 31, 2023.",1.7492e+10,4.812e+09,2.9224e+11,1.8068e+10
"237",237,"Lumen Technologies","LUMN","Telecommunications","Telecommunications","no","false","true","no",-58,"no","yes","no","no","no",29000,2654,-11.2,-176.1,"Kathleen E. Johnson","U.S.","Monroe","LA","www.lumen.com","Public","Market value as of March 31, 2023.",1.7478e+10,1.548e+09,4.5581e+10,2.654e+09
"238",238,"Corteva","CTVA","Food, Beverages & Tobacco","Food Production","yes","false","false","no",-1,"no","yes","no","no","no",21000,42977,11.5,-34.8,"Charles V. Magro","U.S.","Indianapolis","IN","www.corteva.com","Public","Market value as of March 31, 2023.",1.7455e+10,1.147e+09,4.2618e+10,4.2977e+10
"239",239,"Andersons","ANDE","Food, Beverages & Tobacco","Food Production","yes","false","false","no",56,"yes","no","no","no","no",2244,1396,36.3,26.1,"Patrick E. Bowe","U.S.","Maumee","OH","www.andersonsinc.com","Public","Includes revenues from discontinued operations. Market value as of March 31, 2023.",1.7351e+10,1.31e+08,4.608e+09,1.396e+09
"240",240,"Lam Research","LRCX","Technology","Semiconductors and Other Electronic Components","yes","false","false","yes",10,"yes","no","no","no","no",17700,71532,17.8,17.8,"Timothy M. Archer","U.S.","Fremont","CA","www.lamresearch.com","Public","Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",1.7227e+10,4.605e+09,1.7196e+10,7.1532e+10
"241",241,"Edison International","EIX","Energy","Utilities: Gas and Electric","yes","false","false","yes",2,"yes","no","no","no","no",13110,27010,15.5,-19.4,"Pedro J. Pizarro","U.S.","Rosemead","CA","www.edisoninvestor.com","Public","Market value as of March 31, 2023.",1.722e+10,6.12e+08,7.8041e+10,2.701e+10
"242",242,"Dominion Energy","D","Energy","Utilities: Gas and Electric","yes","false","false","yes",15,"yes","no","no","no","no",17200,46699,20.8,-69.8,"Robert M. Blue","U.S.","Richmond","VA","www.dominionenergy.com","Public","Market value as of March 31, 2023.",1.7174e+10,9.94e+08,1.04243e+11,4.6699e+10
"243",243,"Booking Holdings","BKNG","Technology","Internet Services and Retailing","yes","false","false","yes",97,"yes","no","no","no","no",21492,99859,56,162.5,"Glenn D. Fogel","U.S.","Norwalk","CT","www.bookingholdings.com","Public","Market value as of March 31, 2023.",1.709e+10,3.058e+09,2.5361e+10,9.9859e+10
"244",244,"Quanta Services","PWR","Engineering & Construction","Engineering & Construction","yes","false","false","yes",41,"yes","no","no","no","no",47300,23996,31.5,1.1,"Earl C. Austin Jr.","U.S.","Houston","TX","www.quantaservices.com","Public","Market value as of March 31, 2023.",1.7074e+10,4.91e+08,1.3464e+10,2.3996e+10
"245",245,"Expeditors Intl. of Washington","EXPD","Transportation","Transportation and Logistics","yes","false","false","yes",-20,"no","yes","no","no","no",20302,17009,3.3,-4.1,"Jeffrey S. Musser","U.S.","Seattle","WA","www.expeditors.com","Public","Market value as of March 31, 2023.",1.7071e+10,1.357e+09,5.59e+09,1.7009e+10
"246",246,"L3Harris Technologies","LHX","Aerospace & Defense","Aerospace & Defense","yes","false","false","no",-40,"no","yes","no","no","no",46000,37277,-4.2,-42.5,"Christopher E. Kubasik","U.S.","Melbourne","FL","www.l3harris.com","Public","Market value as of March 31, 2023.",1.7062e+10,1.062e+09,3.3524e+10,3.7277e+10
"247",247,"Reliance Steel & Aluminum","RS","Materials","Metals","yes","false","true","yes",14,"yes","no","no","no","no",14750,15142,20.8,30.2,"Karla R. Lewis","U.S.","Scottsdale","AZ","www.rsac.com","Public","Market value as of March 31, 2023.",1.7025e+10,1.84e+09,1.033e+10,1.5142e+10
"248",248,"Live Nation Entertainment","LYV","Media","Entertainment","yes","false","false","yes",260,"yes","no","yes","no","no",20550,16211,166.1,NA,"Michael Rapino","U.S.","Beverly Hills","CA","www.livenationentertainment.com","Public","Market value as of March 31, 2023.",1.6681e+10,2.96e+08,1.6461e+10,1.6211e+10
"249",249,"DISH Network","DISH","Telecommunications","Telecommunications","yes","false","false","no",-44,"no","yes","no","no","no",14200,4956,-6.7,-4.5,"W. Erik Carlson","U.S.","Englewood","CO","www.dish.com","Public","Market value as of March 31, 2023.",1.6679e+10,2.303e+09,5.2607e+10,4.956e+09
"250",250,"DuPont","DD","Chemicals","Chemicals","yes","false","false","no",-37,"no","yes","no","no","no",23000,32895,-3.6,-9.3,"Edward D. Breen","U.S.","Wilmington","DE","www.dupont.com","Public","Includes revenues from discontinued operations. Market value as of March 31, 2023.",1.6549e+10,5.868e+09,4.1355e+10,3.2895e+10
"251",251,"Automatic Data Processing","ADP","Business Services","Diversified Outsourcing Services","yes","false","true","yes",-9,"no","yes","no","no","no",60000,92247,9.9,13.5,"Maria Black","U.S.","Roseland","NJ","www.adp.com","Public","Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",1.6498e+10,2.949e+09,6.3068e+10,9.2247e+10
"252",252,"Group 1 Automotive","GPI","Retailing","Automotive Retailing, Services","yes","false","false","yes",21,"yes","no","no","no","no",15491,3194,18.9,36.1,"Daryl A. Kenningham","U.S.","Houston","TX","www.group1auto.com","Public","Includes revenues from discontinued operations. Market value as of March 31, 2023.",1.6412e+10,7.52e+08,6.718e+09,3.194e+09
"253",253,"Aramark","ARMK","Business Services","Diversified Outsourcing Services","yes","false","false","yes",61,"yes","no","no","no","no",273875,9326,35,NA,"John J. Zillmer","U.S.","Philadelphia","PA","www.aramark.com","Public","Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",1.6327e+10,1.95e+08,1.5082e+10,9.326e+09
"254",254,"Thor Industries","THO","Motor Vehicles & Parts","Motor Vehicles & Parts","yes","false","false","yes",52,"yes","no","no","no","no",32000,4262,32.4,72.4,"Robert W. Martin","U.S.","Elkhart","IN","www.thorindustries.com","Public","Figures are for fiscal year ended July 31, 2022. Market value as of March 31, 2023.",1.6313e+10,1.138e+09,7.408e+09,4.262e+09
"255",255,"DXC Technology","DXC","Technology","Information Technology Services","yes","false","false","no",-48,"no","yes","no","no","no",130000,5820,-8.3,NA,"Michael J. Salvino","U.S.","Ashburn","VA","www.dxc.technology","Public","Figures are for fiscal year ended March 31, 2022. Market value as of March 31, 2023.",1.6265e+10,7.18e+08,2.0139e+10,5.82e+09
"256",256,"Viatris","VTRS","Health Care","Pharmaceuticals","yes","false","false","no",-52,"no","yes","no","no","no",37000,11513,-9.1,NA,"Scott A. Smith","U.S.","Canonsburg","PA","www.viatris.com","Public","Market value as of March 31, 2023.",1.6263e+10,2.079e+09,5.0022e+10,1.1513e+10
"257",257,"Reinsurance Group of America","RGA","Financials","Insurance: Life, Health (stock)","yes","false","true","yes",-35,"no","yes","no","no","no",3800,8876,-2.4,1,"Anna Manning","U.S.","Chesterfield","MO","www.rgare.com","Public","Market value as of March 31, 2023.",1.6258e+10,6.23e+08,8.4706e+10,8.876e+09
"258",258,"AutoZone","AZO","Retailing","Specialty Retailers: Other","yes","false","false","yes",-9,"no","yes","no","no","no",90720,45224,11.1,11.9,"William C. Rhodes III","U.S.","Memphis","TN","www.autozone.com","Public","Figures are for fiscal year ended Aug. 31, 2022. Market value as of March 31, 2023.",1.6252e+10,2.43e+09,1.5275e+10,4.5224e+10
"259",259,"PulteGroup","PHM","Engineering & Construction","Homebuilders","yes","false","false","yes",8,"yes","no","no","no","yes",6524,13073,16.5,34.5,"Ryan R. Marshall","U.S.","Atlanta","GA","www.pultegroupinc.com","Public","Market value as of March 31, 2023.",1.6229e+10,2.617e+09,1.4797e+10,1.3073e+10
"260",260,"Illinois Tool Works","ITW","Industrials","Industrial Machinery","yes","false","false","yes",-8,"no","yes","no","no","no",46000,74209,10.2,12.6,"E. Scott Santi","U.S.","Glenview","IL","www.itw.com","Public","Market value as of March 31, 2023.",1.5932e+10,3.034e+09,1.5422e+10,7.4209e+10
"261",261,"Parker-Hannifin","PH","Industrials","Industrial Machinery","yes","false","true","yes",-8,"no","yes","no","no","no",55090,43112,10.6,-24.7,"Jennifer A. Parmentier","U.S.","Cleveland","OH","www.parker.com","Public","Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",1.5862e+10,1.316e+09,2.5944e+10,4.3112e+10
"262",262,"BorgWarner","BWA","Motor Vehicles & Parts","Motor Vehicles & Parts","yes","false","false","yes",-18,"no","yes","no","no","no",52700,11481,6.5,75.8,"Frederic B. Lissalde","U.S.","Auburn Hills","MI","www.borgwarner.com","Public","Market value as of March 31, 2023.",1.5801e+10,9.44e+08,1.6994e+10,1.1481e+10
"263",263,"Westlake","WLK","Chemicals","Chemicals","yes","false","false","yes",57,"yes","no","no","no","no",15920,14812,34.1,11.5,"Albert Yuan Chao","U.S.","Houston","TX","www.westlake.com","Public","Market value as of March 31, 2023.",1.5794e+10,2.247e+09,2.055e+10,1.4812e+10
"264",264,"Consolidated Edison","ED","Energy","Utilities: Gas and Electric","yes","false","false","yes",12,"yes","no","no","no","no",14319,33967,14.6,23.3,"Timothy P. Cawley","U.S.","New York","NY","www.conedison.com","Public","Market value as of March 31, 2023.",1.567e+10,1.66e+09,6.9065e+10,3.3967e+10
"265",265,"Gap","GPS","Retailing","Specialty Retailers: Apparel","no","false","false","no",-45,"no","yes","no","no","no",95000,3693,-6.3,-178.9,"Richard Dickson","U.S.","San Francisco","CA","www.gapinc.com","Public","Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",1.5616e+10,2.02e+08,1.1386e+10,3.693e+09
"266",266,"Opendoor Technologies","OPEN","Technology","Internet Services and Retailing","no","false","true","no",159,"yes","no","no","no","no",2570,1131,94.1,NA,"Carrie A. Wheeler","U.S.","Tempe","AZ","www.opendoor.com","Public","Market value as of March 31, 2023.",1.5567e+10,1.353e+09,6.608e+09,1.131e+09
"267",267,"Nordstrom","JWN","Retailing","General Merchandisers","yes","false","false","no",-22,"no","yes","no","no","no",60000,2606,5,37.6,"Erik B. Nordstrom","U.S.","Seattle","WA","www.nordstrom.com","Public","Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",1.553e+10,2.45e+08,8.745e+09,2.606e+09
"268",268,"Asbury Automotive Group","ABG","Retailing","Automotive Retailing, Services","yes","false","false","no",92,"yes","no","no","no","no",13000,4557,56.9,87.3,"David W. Hult","U.S.","Duluth","GA","www.asburyauto.com","Public","Market value as of March 31, 2023.",1.5434e+10,9.97e+08,8.021e+09,4.557e+09
"269",269,"Ball","BALL","Materials","Packaging, Containers","yes","false","false","no",3,"yes","no","no","no","no",21000,17326,11.1,-18.1,"Daniel W. Fisher","U.S.","Westminster","CO","www.ball.com","Public","Market value as of March 31, 2023.",1.5349e+10,7.19e+08,1.9909e+10,1.7326e+10
"270",270,"Kellogg","K","Food, Beverages & Tobacco","Food Consumer Products","yes","false","false","no",-12,"no","yes","no","no","no",30000,22945,8,-35.5,"Steven A. Cahillane","U.S.","Battle Creek","MI","www.kelloggcompany.com","Public","Market value as of March 31, 2023.",1.5315e+10,9.6e+08,1.8496e+10,2.2945e+10
"271",271,"Xcel Energy","XEL","Energy","Utilities: Gas and Electric","yes","false","false","yes",7,"yes","no","no","no","no",11982,37082,14,8.7,"Robert C. Frenzel","U.S.","Minneapolis","MN","www.xcelenergy.com","Public","Market value as of March 31, 2023.",1.531e+10,1.736e+09,6.1188e+10,3.7082e+10
"272",272,"W.W. Grainger","GWW","Wholesalers","Wholesalers: Diversified","yes","false","false","yes",12,"yes","no","no","no","yes",24500,34622,16.9,48.3,"D.G. Macpherson","U.S.","Lake Forest","IL","www.grainger.com","Public","Market value as of March 31, 2023.",1.5228e+10,1.547e+09,7.588e+09,3.4622e+10
"273",273,"Discover Financial Services","DFS","Financials","Commercial Banks","yes","false","false","yes",8,"yes","no","no","no","yes",20200,25635,15,-19.4,"John B. Owen","U.S.","Riverwoods","IL","www.discover.com","Public","Market value as of March 31, 2023.",1.5202e+10,4.392e+09,1.31628e+11,2.5635e+10
"274",274,"Baxter International","BAX","Health Care","Medical Products and Equipment","no","false","false","no",18,"yes","no","no","no","no",60000,20504,18.2,-289.5,"José E. Almeida","U.S.","Deerfield","IL","www.baxter.com","Public","Market value as of March 31, 2023.",1.5113e+10,2.433e+09,2.8287e+10,2.0504e+10
"275",275,"Southwestern Energy","SWN","Energy","Mining, Crude-Oil Production","yes","false","false","yes",211,"yes","no","no","no","no",1118,5506,125,NA,"William J. Way","U.S.","Spring","TX","www.swn.com","Public","Market value as of March 31, 2023.",1.5002e+10,1.849e+09,1.2926e+10,5.506e+09
"276",276,"DCP Midstream","DCP","Energy","Pipelines","yes","false","false","yes",68,"yes","no","no","no","no",1910,8701,40,169.1,"Donald A. Baldridge","U.S.","Denver","CO","www.dcpmidstream.com","Public","A partnership. Market value as of March 31, 2023.",1.4993e+10,1.052e+09,1.3334e+10,8.701e+09
"277",277,"Jacobs Solutions","J","Engineering & Construction","Engineering & Construction","yes","false","false","yes",-15,"no","yes","no","no","no",58350,14890,5.9,35,"Bob Pragada","U.S.","Dallas","TX","www.jacobs.com","Public","Figures are for fiscal year ended Sept. 30, 2022. Reorganized as holding company, Aug. 29, 2022. Jacobs Engineering is now a subsidiary of the company. Market value as of March 31, 2023.",1.4923e+10,6.44e+08,1.466e+10,1.489e+10
"278",278,"Laboratory Corp. of America","LH","Health Care","Health Care: Pharmacy and Other Services","yes","false","false","yes",-48,"no","yes","no","no","no",75200,20304,-7.7,-46.2,"Adam H. Schechter","U.S.","Burlington","NC","www.labcorp.com","Public","Market value as of March 31, 2023.",1.4877e+10,1.279e+09,2.0155e+10,2.0304e+10
"279",279,"CSX","CSX","Transportation","Railroads","yes","false","false","yes",19,"yes","no","no","no","no",22542,61330,18.6,10.2,"Joseph R. Hinrichs","U.S.","Jacksonville","FL","www.csx.com","Public","Market value as of March 31, 2023.",1.4853e+10,4.166e+09,4.1912e+10,6.133e+10
