"","Rank","Company","Ticker","Sector","Industry","Profitable","Founder_is_CEO","FemaleCEO","Growth_in_Jobs","Change_in_Rank","Gained_in_Rank","Dropped_in_Rank","Newcomer_to_the_Fortune500","Global500","Best_Companies","Number_of_employees","MarketCap_March31_M","RevenuePercentChange","ProfitsPercentChange","CEO","Country","HeadquartersCity","HeadquartersState","Website","CompanyType","Footnote","Revenues","Abs_Profits","Assets","MarketCap_March31"
"540",540,"Silgan Holdings","SLGN","Materials","Packaging, Containers","yes","false","false","no",8,"yes","no","n/a","no","no",15425,5908,12.9,-5.1,"Adam J. Greenlee","U.S.","Stamford","CT","www.silganholdings.com","Public","Market value as of March 31, 2023.",6.412e+09,3.41e+08,7.346e+09,5.908e+09
"541",541,"Sprouts Farmers Market","SFM","Food & Drug Stores","Food and Drug Stores","yes","false","false","no",-21,"no","yes","n/a","no","no",31000,3611,5,7,"Jack L. Sinclair","U.S.","Phoenix","AZ","www.sprouts.com","Public","Market value as of March 31, 2023.",6.404e+09,2.61e+08,3.07e+09,3.611e+09
"542",542,"PENN Entertainment","PENN","Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","yes","false","false","no",-12,"no","yes","n/a","no","no",21875,4526,8.4,-47.2,"Jay A. Snowden","U.S.","Wyomissing","PA","www.pennentertainment.com","Public","Changed name from Penn National Gaming, Aug. 4, 2022. Market value as of March 31, 2023.",6.402e+09,2.22e+08,1.7502e+10,4.526e+09
"543",543,"ADT","ADT","Business Services","Diversified Outsourcing Services","yes","false","false","no",31,"yes","no","n/a","no","no",22000,6630,20.5,NA,"James D. DeVries","U.S.","Boca Raton","FL","www.adt.com","Public","Market value as of March 31, 2023.",6.395e+09,1.73e+08,1.7873e+10,6.63e+09
"544",544,"Academy Sports and Outdoors","ASO","Retailing","Specialty Retailers: Other","yes","false","false","no",-63,"no","yes","n/a","no","no",16508,5021,-5.6,-6.5,"Steven P. Lawrence","U.S.","Katy","TX","www.academy.com","Public","Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",6.395e+09,6.28e+08,4.595e+09,5.021e+09
"545",545,"Post Holdings","POST","Food, Beverages & Tobacco","Food Consumer Products","yes","false","false","no",-34,"no","yes","n/a","no","no",10420,5295,2.7,353.9,"Robert V. Vitale","U.S.","St. Louis","MO","www.postholdings.com","Public","Includes revenues from discontinued operations. Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",6.393e+09,7.57e+08,1.1308e+10,5.295e+09
"546",546,"Resideo Technologies","REZI","Materials","Building Materials, Glass","yes","false","false","yes",-12,"no","yes","n/a","no","no",15200,2680,9,16.9,"Jay L. Geldmacher","U.S.","Scottsdale","AZ","www.resideo.com","Public","Market value as of March 31, 2023.",6.37e+09,2.83e+08,6.387e+09,2.68e+09
"547",547,"Bright Health Group","BHG","Health Care","Health Care: Insurance and Managed Care","no","false","false","no",141,"yes","no","n/a","no","no",2840,140,58.1,NA,"G. Mike Mikan","U.S.","Minneapolis","MN","www.brighthealthgroup.com","Public","Includes revenues from discontinued operations. Market value as of March 31, 2023.",6.37e+09,1.456e+09,4.665e+09,1.4e+08
"548",548,"McCormick","MKC","Food, Beverages & Tobacco","Food Consumer Products","yes","false","false","yes",-43,"no","yes","n/a","no","no",14200,22320,0.5,-9.7,"Brendan M. Foley","U.S.","Hunt Valley","MD","www.mccormickcorporation.com","Public","Figures are for fiscal year ended Nov. 30, 2022. Market value as of March 31, 2023.",6.351e+09,6.82e+08,1.3125e+10,2.232e+10
"549",549,"Greif","GEF","Materials","Packaging, Containers","yes","false","false","no",12,"yes","no","n/a","no","no",12000,3292,14.3,-3.6,"Ole G. Rosgaard","U.S.","Delaware","OH","www.greif.com","Public","Figures are for fiscal year ended Oct. 31, 2022. Market value as of March 31, 2023.",6.35e+09,3.77e+08,5.47e+09,3.292e+09
